date,source,grade,sex,market_code,market_name,is_national_total,is_regional_total,price_won_per_kg,head_count
2019-01-30,ekape_auction,평균,전체,0302,협신식품,False,False,15055,6891
2019-01-30,ekape_auction,평균,전체,0320,도드람,False,False,16627,7610
2019-01-30,ekape_auction,평균,전체,0323,농협부천,False,False,16715,8589
2019-01-30,ekape_auction,평균,전체,0513,농협음성,False,False,17773,15844
2019-01-30,ekape_auction,평균,전체,0613,관성,False,False,14410,1701
2019-01-30,ekape_auction,평균,전체,0714,익산,False,False,16452,230
2019-01-30,ekape_auction,평균,전체,0809,농협나주,False,False,16513,1791
2019-01-30,ekape_auction,평균,전체,0905,농협고령,False,False,17093,5390
2019-01-30,ekape_auction,평균,전체,1005,김해축공,False,False,16877,7173
2019-01-30,ekape_auction,평균,전체,1101,제주축협,False,False,14963,20
2019-01-30,ekape_auction,평균,전체,1201,신흥산업,False,False,14470,793
2019-01-30,ekape_auction,평균,전체,1301,삼성식품,False,False,11780,1254
2019-01-30,ekape_auction,평균,전체,Center,Center,False,False,17494,17545
2019-01-30,ekape_auction,평균,전체,City,수도권(권역),False,True,15966,24344
2019-01-30,ekape_auction,평균,전체,East,영남권(권역),False,True,16507,21018
2019-01-30,ekape_auction,평균,전체,Tot,전국(전체),True,False,16578,64948
2019-01-30,ekape_auction,평균,전체,West,호남권(권역),False,True,16506,2021
2019-01-30,ekape_auction,1+,전체,0202,부경축공,False,False,18988,1570
2019-01-30,ekape_auction,1+,전체,0302,협신식품,False,False,19180,1471
2019-01-30,ekape_auction,1+,전체,0320,도드람,False,False,19308,1750
2019-01-30,ekape_auction,1+,전체,0323,농협부천,False,False,19002,2451
2019-01-30,ekape_auction,1+,전체,0513,농협음성,False,False,19256,4572
2019-01-30,ekape_auction,1+,전체,0613,관성,False,False,19192,318
2019-01-30,ekape_auction,1+,전체,0714,익산,False,False,19540,40
2019-01-30,ekape_auction,1+,전체,0809,농협나주,False,False,19034,383
2019-01-30,ekape_auction,1+,전체,0905,농협고령,False,False,18766,1779
2019-01-30,ekape_auction,1+,전체,1005,김해축공,False,False,19618,1274
2019-01-30,ekape_auction,1+,전체,1101,제주축협,False,False,19555,1
2019-01-30,ekape_auction,1+,전체,1201,신흥산업,False,False,18662,125
2019-01-30,ekape_auction,1+,전체,1301,삼성식품,False,False,18099,76
2019-01-30,ekape_auction,1+,전체,Center,Center,False,False,19253,4890
2019-01-30,ekape_auction,1+,전체,City,수도권(권역),False,True,19128,5748
2019-01-30,ekape_auction,1+,전체,East,영남권(권역),False,True,19045,4748
2019-01-30,ekape_auction,1+,전체,Tot,전국(전체),True,False,19141,15810
2019-01-30,ekape_auction,1+,전체,West,호남권(권역),False,True,19076,423
2019-01-30,ekape_auction,1,전체,0202,부경축공,False,False,17119,2165
2019-01-30,ekape_auction,1,전체,0302,협신식품,False,False,17383,1219
2019-01-30,ekape_auction,1,전체,0320,도드람,False,False,17658,2208
2019-01-30,ekape_auction,1,전체,0323,농협부천,False,False,17560,2053
2019-01-30,ekape_auction,1,전체,0513,농협음성,False,False,17620,4231
2019-01-30,ekape_auction,1,전체,0613,관성,False,False,17434,377
2019-01-30,ekape_auction,1,전체,0714,익산,False,False,17010,66
2019-01-30,ekape_auction,1,전체,0809,농협나주,False,False,17536,511
2019-01-30,ekape_auction,1,전체,0905,농협고령,False,False,17263,1470
2019-01-30,ekape_auction,1,전체,1005,김해축공,False,False,17846,2000
2019-01-30,ekape_auction,1,전체,1101,제주축협,False,False,17854,7
2019-01-30,ekape_auction,1,전체,1201,신흥산업,False,False,16258,139
2019-01-30,ekape_auction,1,전체,1301,삼성식품,False,False,15415,159
2019-01-30,ekape_auction,1,전체,Center,Center,False,False,17606,4608
2019-01-30,ekape_auction,1,전체,City,수도권(권역),False,True,17495,5639
2019-01-30,ekape_auction,1,전체,East,영남권(권역),False,True,17373,5774
2019-01-30,ekape_auction,1,전체,Tot,전국(전체),True,False,17484,16605
2019-01-30,ekape_auction,1,전체,West,호남권(권역),False,True,17478,577
2019-01-30,ekape_auction,2,전체,0202,부경축공,False,False,14588,1623
2019-01-30,ekape_auction,2,전체,0302,협신식품,False,False,12990,1394
2019-01-30,ekape_auction,2,전체,0320,도드람,False,False,14249,1607
2019-01-30,ekape_auction,2,전체,0323,농협부천,False,False,14168,1632
2019-01-30,ekape_auction,2,전체,0513,농협음성,False,False,14475,2817
2019-01-30,ekape_auction,2,전체,0613,관성,False,False,13944,362
2019-01-30,ekape_auction,2,전체,0714,익산,False,False,14187,48
2019-01-30,ekape_auction,2,전체,0809,농협나주,False,False,14432,349
2019-01-30,ekape_auction,2,전체,0905,농협고령,False,False,14155,1007
2019-01-30,ekape_auction,2,전체,1005,김해축공,False,False,15035,2266
2019-01-30,ekape_auction,2,전체,1101,제주축협,False,False,13853,8
2019-01-30,ekape_auction,2,전체,1201,신흥산업,False,False,13224,269
2019-01-30,ekape_auction,2,전체,1301,삼성식품,False,False,12384,334
2019-01-30,ekape_auction,2,전체,Center,Center,False,False,14419,3179
2019-01-30,ekape_auction,2,전체,City,수도권(권역),False,True,13715,4967
2019-01-30,ekape_auction,2,전체,East,영남권(권역),False,True,14598,5165
2019-01-30,ekape_auction,2,전체,Tot,전국(전체),True,False,14227,13716
2019-01-30,ekape_auction,2,전체,West,호남권(권역),False,True,14404,397
2019-01-30,ekape_auction,3,전체,0202,부경축공,False,False,9667,1367
2019-01-30,ekape_auction,3,전체,0302,협신식품,False,False,9353,1847
2019-01-30,ekape_auction,3,전체,0320,도드람,False,False,10329,975
2019-01-30,ekape_auction,3,전체,0323,농협부천,False,False,9909,1150
2019-01-30,ekape_auction,3,전체,0513,농협음성,False,False,10879,1208
2019-01-30,ekape_auction,3,전체,0613,관성,False,False,8777,385
2019-01-30,ekape_auction,3,전체,0714,익산,False,False,10948,35
2019-01-30,ekape_auction,3,전체,0809,농협나주,False,False,10939,247
2019-01-30,ekape_auction,3,전체,0905,농협고령,False,False,11044,391
2019-01-30,ekape_auction,3,전체,1005,김해축공,False,False,12230,1066
2019-01-30,ekape_auction,3,전체,1101,제주축협,False,False,10303,4
