년월,부위,중량
2020-07,앞다리,1785122.51
2020-07,양지,1804291.89
2020-07,우둔,137482.14
2020-07,채끝,1089.36
2020-07,기타,0.0
2020-08,갈비,8166965.9
2020-08,등심,1621590.12
2020-08,목심,2080305.57
2020-08,사태,2497.0
2020-08,설도,92703.11
2020-08,안심,3145.32
2020-08,앞다리,2314298.53
2020-08,양지,2464055.38
2020-08,우둔,160938.78
2020-08,채끝,2088.44
2020-08,기타,0.0
2020-09,갈비,8473136.6784
2020-09,등심,1732203.89
2020-09,목심,2440651.82
2020-09,사태,92330.98
2020-09,설도,197951.86
2020-09,안심,947.37
2020-09,앞다리,2311237.18
2020-09,양지,2825607.81
2020-09,우둔,326524.04
2020-09,채끝,3715.38
2020-09,기타,0.0
2020-10,갈비,7089456.02
2020-10,등심,1587504.57
2020-10,목심,1692648.04
2020-10,사태,63582.88
2020-10,설도,55881.92
2020-10,안심,259.09
2020-10,앞다리,1304588.82
2020-10,양지,2830284.83
2020-10,우둔,279034.78
2020-10,채끝,6179.32
2020-10,기타,0.0
2020-11,갈비,7042588.65
2020-11,등심,375032.61
2020-11,목심,739774.11
2020-11,사태,80004.88
2020-11,설도,10870.71
2020-11,안심,3040.08
2020-11,앞다리,1450657.4
2020-11,양지,1969206.78
2020-11,우둔,193587.87
2020-11,채끝,27396.62
2020-11,기타,0.0
2020-12,갈비,7087771.83
2020-12,등심,291613.68
2020-12,목심,911103.12
2020-12,사태,48239.91
2020-12,설도,33298.75
2020-12,안심,1521.0
2020-12,앞다리,1750821.74
2020-12,양지,2391771.4
2020-12,우둔,239567.14
2020-12,채끝,18273.64
2020-12,기타,0.0
2021-01,갈비,5521585.32
2021-01,등심,203471.44
2021-01,목심,879666.13
2021-01,사태,49063.42
2021-01,설도,163279.06
2021-01,안심,12.9
2021-01,앞다리,1254074.67
2021-01,양지,2485594.21
2021-01,우둔,122452.12
2021-01,채끝,20646.973
2021-01,기타,0.0
2021-02,갈비,5773097.62
2021-02,등심,420691.14
2021-02,목심,1433499.42
2021-02,사태,137345.77
2021-02,설도,86408.45
2021-02,안심,624.85
2021-02,앞다리,1649676.46
2021-02,양지,2856130.51
2021-02,우둔,96542.14
2021-02,채끝,23994.92
2021-02,기타,0.0
2021-03,갈비,6599612.89
2021-03,등심,577018.24
2021-03,목심,1298289.96
2021-03,사태,119777.83
2021-03,설도,40851.06
2021-03,안심,10899.13
2021-03,앞다리,1653030.76
2021-03,양지,4232804.55
2021-03,우둔,154328.74
2021-03,채끝,19148.73
2021-03,기타,0.0
2021-04,갈비,7402887.99
2021-04,등심,437120.83
2021-04,목심,1246133.53
2021-04,사태,45791.56
2021-04,설도,60210.21
2021-04,안심,954.0
2021-04,앞다리,1546601.12
2021-04,양지,3033763.88
2021-04,우둔,29149.82
2021-04,채끝,40375.78
2021-04,기타,0.0
2021-05,갈비,6226788.9
2021-05,등심,645314.42
2021-05,목심,1443919.31
2021-05,사태,29049.14
2021-05,설도,310888.05
2021-05,안심,1588.34
2021-05,앞다리,1668540.29
2021-05,양지,3093361.87
2021-05,우둔,265489.72
2021-05,채끝,36363.02
2021-05,기타,0.0
2021-06,갈비,7230895.56
2021-06,등심,890193.79
2021-06,목심,2793620.51
2021-06,사태,202343.05
2021-06,설도,302841.68
2021-06,안심,7677.21
2021-06,앞다리,2019258.7
2021-06,양지,3171144.24
2021-06,우둔,603689.76
2021-06,채끝,34951.87
2021-06,기타,0.0
2021-07,갈비,7264160.0
2021-07,등심,1203996.32
2021-07,목심,2597656.91
2021-07,사태,95197.15
2021-07,설도,234666.08
2021-07,안심,4589.63
2021-07,앞다리,1802443.1
2021-07,양지,1732181.392
2021-07,우둔,613380.17
2021-07,채끝,8984.96
2021-07,기타,0.0
2021-08,갈비,7703801.17
2021-08,등심,1184796.51
2021-08,목심,2422126.04
2021-08,사태,63139.13
2021-08,설도,546606.1
2021-08,안심,0.0
2021-08,앞다리,1950776.4
2021-08,양지,2090662.63
2021-08,우둔,621884.78
2021-08,채끝,21700.72
2021-08,기타,0.0
2021-09,갈비,6271702.93
2021-09,등심,1452775.7
2021-09,목심,2478547.36
2021-09,사태,78631.01
2021-09,설도,451211.74
2021-09,안심,0.0
2021-09,앞다리,2236291.86
2021-09,양지,2235516.04
2021-09,우둔,625794.41
2021-09,채끝,6175.05
2021-09,기타,0.0
2021-10,갈비,9090221.16
2021-10,등심,1371240.81
2021-10,목심,2941785.6
2021-10,사태,216110.42
2021-10,설도,396171.63
2021-10,안심,4269.48
2021-10,앞다리,2105615.82
2021-10,양지,2183441.4
2021-10,우둔,470881.71
2021-10,채끝,31557.6
2021-10,기타,0.0
2021-11,갈비,5760243.13
2021-11,등심,624395.15
2021-11,목심,1633126.28
2021-11,사태,82363.27
2021-11,설도,57761.2
2021-11,안심,269.8
2021-11,앞다리,1641099.82
2021-11,양지,2293620.62
2021-11,우둔,160588.47
2021-11,채끝,32902.31
2021-11,기타,0.0
2021-12,갈비,7060771.65
2021-12,등심,483557.64
2021-12,목심,2538779.59
2021-12,사태,100146.72
2021-12,설도,45241.25
2021-12,안심,1428.36
2021-12,앞다리,1589683.22
2021-12,양지,2996594.965
2021-12,우둔,0.0
2021-12,채끝,7096.63
2021-12,기타,0.0
2022-01,갈비,4962879.952
2022-01,등심,269460.95
2022-01,목심,1341517.58
2022-01,사태,86180.89
2022-01,설도,43052.6
2022-01,안심,0.0
2022-01,앞다리,946955.8
2022-01,양지,2462925.421
2022-01,우둔,152442.27
2022-01,채끝,67229.87
2022-02,갈비,7717140.235
2022-02,등심,507205.48
2022-02,목심,1439903.085
2022-02,사태,95290.42
2022-02,설도,193942.84
2022-02,안심,281.18
2022-02,앞다리,2207054.33
2022-02,양지,4301241.44
2022-02,우둔,185428.7
2022-02,채끝,11428.39
2022-03,갈비,8093994.333
2022-03,등심,642863.345
2022-03,목심,942553.628
2022-03,사태,209506.54
2022-03,설도,168791.95
2022-03,안심,707.176
2022-03,앞다리,1317164.38
2022-03,양지,5486795.711
2022-03,우둔,199069.39
2022-03,채끝,40018.649
2022-04,갈비,7837590.99
2022-04,등심,486918.62
2022-04,목심,1005250.96
2022-04,사태,119994.54
2022-04,설도,189550.53
2022-04,안심,14.4
2022-04,앞다리,1320874.92
2022-04,양지,4722805.94
2022-04,우둔,75731.78
2022-04,채끝,5493.78
2022-05,갈비,8904304.572
2022-05,등심,337863.127
2022-05,목심,1657574.6
2022-05,사태,167202.7
2022-05,설도,113508.29
2022-05,안심,1580.98
2022-05,앞다리,1509159.69
2022-05,양지,5806478.414
2022-05,우둔,167227.95
2022-05,채끝,20368.5
2022-06,갈비,8382756.77
2022-06,등심,640835.42
2022-06,목심,1145446.42
2022-06,사태,212137.01
2022-06,설도,104388.19
2022-06,안심,2053.62
2022-06,앞다리,1431444.33
2022-06,양지,3698142.17
2022-06,우둔,152774.93
2022-06,채끝,31314.9
2022-07,갈비,9105389.452
2022-07,등심,889500.74
2022-07,목심,1978131.62
2022-07,사태,273426.84
2022-07,설도,395195.45
2022-07,안심,867.77
2022-07,앞다리,1561277.23
2022-07,양지,4211751.13
2022-07,우둔,253884.96
2022-07,채끝,10746.63
2022-08,갈비,7216424.9
2022-08,등심,1079757.81
2022-08,목심,1657031.49
2022-08,사태,143026.91
2022-08,설도,387750.03
2022-08,안심,0.0
