auction_start_ymd,auction_end_ymd,grade_type,grade_cd,grade_nm,breed_cd,breed_nm,sex_cd,sex_nm,qgrade_yn,defect_include_yn,market_code,market_name,is_regional_total,is_national_total,price_won_per_kg,head_count
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,0323,농협부천,False,False,16880,8405
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,0513,농협음성,False,False,17802,15782
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,0613,관성,False,False,15173,1522
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,0714,익산,False,False,16768,223
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,0809,농협나주,False,False,16936,1670
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,0905,농협고령,False,False,17192,5320
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,1005,김해축공,False,False,16914,7122
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,1101,제주축협,False,False,14963,20
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,1201,신흥산업,False,False,14574,779
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,1301,삼성식품,False,False,12287,1119
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,Center,Center,False,False,17599,17304
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,City,수도권(권역),True,False,16208,23527
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,East,영남권(권역),True,False,16643,20624
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,Tot,전국(전체),False,True,16756,63368
20190101,20190130,QW,029045,등외제외,,전체,,전체,Y,Y,West,호남권(권역),True,False,16917,1893
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0202,부경축공,False,False,15931,7662
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0302,협신식품,False,False,15055,6891
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0320,도드람,False,False,16627,7610
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0323,농협부천,False,False,16715,8589
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0513,농협음성,False,False,17773,15844
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0613,관성,False,False,14410,1701
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0714,익산,False,False,16452,230
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0809,농협나주,False,False,16513,1791
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,0905,농협고령,False,False,17093,5390
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,1005,김해축공,False,False,16877,7173
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,1101,제주축협,False,False,14963,20
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,1201,신흥산업,False,False,14470,793
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,1301,삼성식품,False,False,11780,1254
