reg_date,product_cls_code,product_cls_name,item_name,kind_name,rank,unit,country_name,market_name,price
2019-01-07,1,소매,소,설도,1등급,100g,,,
2019-01-07,1,소매,소,안심,1++등급,100g,,,
2019-01-07,1,소매,소,안심,1+등급,100g,,,
2019-01-07,1,소매,소,안심,1등급,100g,,,
2019-01-07,1,소매,소,양지,1++등급,100g,,,
2019-01-07,1,소매,소,양지,1+등급,100g,,,
2019-01-07,1,소매,소,양지,1등급,100g,,,
2019-01-07,2,도매,소,갈비,1++등급,100g,,,
2019-01-07,2,도매,소,갈비,1+등급,100g,,,
2019-01-07,2,도매,소,갈비,1등급,100g,,,
2019-01-07,2,도매,소,등심,1++등급,100g,,,
2019-01-07,2,도매,소,등심,1+등급,100g,,,
2019-01-07,2,도매,소,등심,1등급,100g,,,
2019-01-07,2,도매,소,설도,1++등급,100g,,,
2019-01-07,2,도매,소,설도,1+등급,100g,,,
2019-01-07,2,도매,소,설도,1등급,100g,,,
2019-01-07,2,도매,소,안심,1++등급,100g,,,
2019-01-07,2,도매,소,안심,1+등급,100g,,,
2019-01-07,2,도매,소,안심,1등급,100g,,,
2019-01-07,2,도매,소,양지,1++등급,100g,,,
2019-01-07,2,도매,소,양지,1+등급,100g,,,
2019-01-07,2,도매,소,양지,1등급,100g,,,
2019-01-08,1,소매,소,갈비,1++등급,100g,,,
2019-01-08,1,소매,소,갈비,1+등급,100g,,,
2019-01-08,1,소매,소,갈비,1등급,100g,,,
2019-01-08,1,소매,소,등심,1++등급,100g,,,
2019-01-08,1,소매,소,등심,1+등급,100g,,,
2019-01-08,1,소매,소,등심,1등급,100g,,,7822.0
2019-01-08,1,소매,소,설도,1++등급,100g,,,
2019-01-08,1,소매,소,설도,1+등급,100g,,,
2019-01-08,1,소매,소,설도,1등급,100g,,,
2019-01-08,1,소매,소,안심,1++등급,100g,,,
2019-01-08,1,소매,소,안심,1+등급,100g,,,
2019-01-08,1,소매,소,안심,1등급,100g,,,
2019-01-08,1,소매,소,양지,1++등급,100g,,,
2019-01-08,1,소매,소,양지,1+등급,100g,,,
2019-01-08,1,소매,소,양지,1등급,100g,,,
2019-01-08,2,도매,소,갈비,1++등급,100g,,,
2019-01-08,2,도매,소,갈비,1+등급,100g,,,
2019-01-08,2,도매,소,갈비,1등급,100g,,,
2019-01-08,2,도매,소,등심,1++등급,100g,,,
2019-01-08,2,도매,소,등심,1+등급,100g,,,
2019-01-08,2,도매,소,등심,1등급,100g,,,7822.0
2019-01-08,2,도매,소,설도,1++등급,100g,,,
2019-01-08,2,도매,소,설도,1+등급,100g,,,
2019-01-08,2,도매,소,설도,1등급,100g,,,
2019-01-08,2,도매,소,안심,1++등급,100g,,,
2019-01-08,2,도매,소,안심,1+등급,100g,,,
2019-01-08,2,도매,소,안심,1등급,100g,,,
2019-01-08,2,도매,소,양지,1++등급,100g,,,
2019-01-08,2,도매,소,양지,1+등급,100g,,,
2019-01-08,2,도매,소,양지,1등급,100g,,,
2019-01-09,1,소매,소,갈비,1++등급,100g,,,
2019-01-09,1,소매,소,갈비,1+등급,100g,,,
2019-01-09,1,소매,소,갈비,1등급,100g,,,
2019-01-09,1,소매,소,등심,1++등급,100g,,,
2019-01-09,1,소매,소,등심,1+등급,100g,,,
2019-01-09,1,소매,소,등심,1등급,100g,,,7822.0
2019-01-09,1,소매,소,설도,1++등급,100g,,,
2019-01-09,1,소매,소,설도,1+등급,100g,,,
2019-01-09,1,소매,소,설도,1등급,100g,,,
2019-01-09,1,소매,소,안심,1++등급,100g,,,
2019-01-09,1,소매,소,안심,1+등급,100g,,,
2019-01-09,1,소매,소,안심,1등급,100g,,,
2019-01-09,1,소매,소,양지,1++등급,100g,,,
2019-01-09,1,소매,소,양지,1+등급,100g,,,
2019-01-09,1,소매,소,양지,1등급,100g,,,
2019-01-09,2,도매,소,갈비,1++등급,100g,,,
2019-01-09,2,도매,소,갈비,1+등급,100g,,,
2019-01-09,2,도매,소,갈비,1등급,100g,,,
2019-01-09,2,도매,소,등심,1++등급,100g,,,
2019-01-09,2,도매,소,등심,1+등급,100g,,,
2019-01-09,2,도매,소,등심,1등급,100g,,,7822.0
2019-01-09,2,도매,소,설도,1++등급,100g,,,
2019-01-09,2,도매,소,설도,1+등급,100g,,,
2019-01-09,2,도매,소,설도,1등급,100g,,,
2019-01-09,2,도매,소,안심,1++등급,100g,,,
2019-01-09,2,도매,소,안심,1+등급,100g,,,
2019-01-09,2,도매,소,안심,1등급,100g,,,
2019-01-09,2,도매,소,양지,1++등급,100g,,,
2019-01-09,2,도매,소,양지,1+등급,100g,,,
2019-01-09,2,도매,소,양지,1등급,100g,,,
2019-01-10,1,소매,소,갈비,1++등급,100g,,,
2019-01-10,1,소매,소,갈비,1+등급,100g,,,
2019-01-10,1,소매,소,갈비,1등급,100g,,,
2019-01-10,1,소매,소,등심,1++등급,100g,,,
2019-01-10,1,소매,소,등심,1+등급,100g,,,
2019-01-10,1,소매,소,등심,1등급,100g,,,7768.0
2019-01-10,1,소매,소,설도,1++등급,100g,,,
2019-01-10,1,소매,소,설도,1+등급,100g,,,
2019-01-10,1,소매,소,설도,1등급,100g,,,
2019-01-10,1,소매,소,안심,1++등급,100g,,,
2019-01-10,1,소매,소,안심,1+등급,100g,,,
2019-01-10,1,소매,소,안심,1등급,100g,,,
2019-01-10,1,소매,소,양지,1++등급,100g,,,
2019-01-10,1,소매,소,양지,1+등급,100g,,,
2019-01-10,1,소매,소,양지,1등급,100g,,,
2019-01-10,2,도매,소,갈비,1++등급,100g,,,
2019-01-10,2,도매,소,갈비,1+등급,100g,,,
2019-01-10,2,도매,소,갈비,1등급,100g,,,
2019-01-10,2,도매,소,등심,1++등급,100g,,,
2019-01-10,2,도매,소,등심,1+등급,100g,,,
2019-01-10,2,도매,소,등심,1등급,100g,,,7768.0
2019-01-10,2,도매,소,설도,1++등급,100g,,,
2019-01-10,2,도매,소,설도,1+등급,100g,,,
2019-01-10,2,도매,소,설도,1등급,100g,,,
2019-01-10,2,도매,소,안심,1++등급,100g,,,
2019-01-10,2,도매,소,안심,1+등급,100g,,,
2019-01-10,2,도매,소,안심,1등급,100g,,,
2019-01-10,2,도매,소,양지,1++등급,100g,,,
2019-01-10,2,도매,소,양지,1+등급,100g,,,
2019-01-10,2,도매,소,양지,1등급,100g,,,
2019-01-11,1,소매,소,갈비,1++등급,100g,,,
2019-01-11,1,소매,소,갈비,1+등급,100g,,,
2019-01-11,1,소매,소,갈비,1등급,100g,,,
2019-01-11,1,소매,소,등심,1++등급,100g,,,
2019-01-11,1,소매,소,등심,1+등급,100g,,,
2019-01-11,1,소매,소,등심,1등급,100g,,,7988.0
2019-01-11,1,소매,소,설도,1++등급,100g,,,
2019-01-11,1,소매,소,설도,1+등급,100g,,,
2019-01-11,1,소매,소,설도,1등급,100g,,,
2019-01-11,1,소매,소,안심,1++등급,100g,,,
2019-01-11,1,소매,소,안심,1+등급,100g,,,
2019-01-11,1,소매,소,안심,1등급,100g,,,
2019-01-11,1,소매,소,양지,1++등급,100g,,,
2019-01-11,1,소매,소,양지,1+등급,100g,,,
2019-01-11,1,소매,소,양지,1등급,100g,,,
2019-01-11,2,도매,소,갈비,1++등급,100g,,,
2019-01-11,2,도매,소,갈비,1+등급,100g,,,
2019-01-11,2,도매,소,갈비,1등급,100g,,,
2019-01-11,2,도매,소,등심,1++등급,100g,,,
2019-01-11,2,도매,소,등심,1+등급,100g,,,
2019-01-11,2,도매,소,등심,1등급,100g,,,7988.0
2019-01-11,2,도매,소,설도,1++등급,100g,,,
2019-01-11,2,도매,소,설도,1+등급,100g,,,
2019-01-11,2,도매,소,설도,1등급,100g,,,
2019-01-11,2,도매,소,안심,1++등급,100g,,,
2019-01-11,2,도매,소,안심,1+등급,100g,,,
2019-01-11,2,도매,소,안심,1등급,100g,,,
2019-01-11,2,도매,소,양지,1++등급,100g,,,
2019-01-11,2,도매,소,양지,1+등급,100g,,,
2019-01-11,2,도매,소,양지,1등급,100g,,,
2019-01-12,1,소매,소,갈비,1++등급,100g,,,
2019-01-12,1,소매,소,갈비,1+등급,100g,,,
2019-01-12,1,소매,소,갈비,1등급,100g,,,
2019-01-12,1,소매,소,등심,1++등급,100g,,,
2019-01-12,1,소매,소,등심,1+등급,100g,,,
2019-01-12,1,소매,소,등심,1등급,100g,,,7974.0
2019-01-12,1,소매,소,설도,1++등급,100g,,,
2019-01-12,1,소매,소,설도,1+등급,100g,,,
2019-01-12,1,소매,소,설도,1등급,100g,,,
2019-01-12,1,소매,소,안심,1++등급,100g,,,
2019-01-12,1,소매,소,안심,1+등급,100g,,,
2019-01-12,1,소매,소,안심,1등급,100g,,,
2019-01-12,1,소매,소,양지,1++등급,100g,,,
2019-01-12,1,소매,소,양지,1+등급,100g,,,
2019-01-12,1,소매,소,양지,1등급,100g,,,
2019-01-12,2,도매,소,갈비,1++등급,100g,,,
2019-01-12,2,도매,소,갈비,1+등급,100g,,,
2019-01-12,2,도매,소,갈비,1등급,100g,,,
2019-01-12,2,도매,소,등심,1++등급,100g,,,
2019-01-12,2,도매,소,등심,1+등급,100g,,,
2019-01-12,2,도매,소,등심,1등급,100g,,,7974.0
2019-01-12,2,도매,소,설도,1++등급,100g,,,
2019-01-12,2,도매,소,설도,1+등급,100g,,,
2019-01-12,2,도매,소,설도,1등급,100g,,,
2019-01-12,2,도매,소,안심,1++등급,100g,,,
2019-01-12,2,도매,소,안심,1+등급,100g,,,
2019-01-12,2,도매,소,안심,1등급,100g,,,
2019-01-12,2,도매,소,양지,1++등급,100g,,,
2019-01-12,2,도매,소,양지,1+등급,100g,,,
2019-01-12,2,도매,소,양지,1등급,100g,,,
2019-01-13,1,소매,소,갈비,1++등급,100g,,,
2019-01-13,1,소매,소,갈비,1+등급,100g,,,
2019-01-13,1,소매,소,갈비,1등급,100g,,,
2019-01-13,1,소매,소,등심,1++등급,100g,,,
2019-01-13,1,소매,소,등심,1+등급,100g,,,
2019-01-13,1,소매,소,등심,1등급,100g,,,
2019-01-13,1,소매,소,설도,1++등급,100g,,,
2019-01-13,1,소매,소,설도,1+등급,100g,,,
2019-01-13,1,소매,소,설도,1등급,100g,,,
2019-01-13,1,소매,소,안심,1++등급,100g,,,
2019-01-13,1,소매,소,안심,1+등급,100g,,,
2019-01-13,1,소매,소,안심,1등급,100g,,,
2019-01-13,1,소매,소,양지,1++등급,100g,,,
2019-01-13,1,소매,소,양지,1+등급,100g,,,
2019-01-13,1,소매,소,양지,1등급,100g,,,
2019-01-13,2,도매,소,갈비,1++등급,100g,,,
