date,short_desc,value,unit,reference_period
2025-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1774000.0,HEAD,DEC
2026-01-01,"CATTLE, ON FEED - INVENTORY",13847900.0,HEAD,FIRST OF JAN
2026-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1741000.0,HEAD,JAN
2026-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1626000.0,HEAD,JAN
2026-02-01,"CATTLE, ON FEED - INVENTORY",11510000.0,HEAD,FIRST OF FEB
2026-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1611000.0,HEAD,FEB
2026-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1522000.0,HEAD,FEB
2026-03-01,"CATTLE, ON FEED - INVENTORY",11549000.0,HEAD,FIRST OF MAR
2026-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1711000.0,HEAD,MAR
2026-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1634000.0,HEAD,MAR
2026-04-01,"CATTLE, ON FEED - INVENTORY",11576000.0,HEAD,FIRST OF APR
2026-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1702000.0,HEAD,APR
2026-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1642000.0,HEAD,APR
2026-05-01,"CATTLE, ON FEED - INVENTORY",11584000.0,HEAD,FIRST OF MAY
2026-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1704000.0,HEAD,MAY
2026-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1551000.0,HEAD,MAY
2026-06-01,"CATTLE, ON FEED - INVENTORY",11682000.0,HEAD,FIRST OF JUN
2026-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1399000.0,HEAD,JUN
2026-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1661000.0,HEAD,JUN
2026-07-01,"CATTLE, ON FEED - INVENTORY",13200000.0,HEAD,FIRST OF JUL
